col_name,feature_importance_vals,full name
cpkbloodb,1.1511266023991629,
t4bloodb,1.0494720555108503,
TTGIgABloodB,0.875183516909601,
agilent_129819,0.47219835846219216,MH0113_GL0055733 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
lymphbloodb,0.4517269840417428,
RFBloodB,0.43280883242608975,
mchcbloodb,0.36290794673550403,
eGFRBloodB,0.3097127052326687,
hctbloodb,0.2941591287741905,
pltbloodb,0.2628257263934938,
neutrobloodb,0.2610895557585173,
eosinbloodb,0.23699407558073302,
monobloodb,0.19165243953466415,
inorgphosbloodb,0.18709528460982255,
esrbloodb,0.17346962883777453,
rbcbloodb,0.16453837415436287,
nabloodb,0.16443271182943128,
TBilBloodB,0.15407898226927494,
basobloodb,0.14350284918211406,
TSHBloodB,0.11022285858285612,
ALPBloodB,0.09319714320590716,
agilent_128883,0.08698936658678576,MH0077_GL0059567 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
CRPBloodB,0.06497698698658497,
mcvbloodb,0.05656195949763063,
agilent_131888,0.05649296479066834,WP_007886088.1 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
ureabloodb,0.054126211679540556,
B12BloodB,0.053068631471251126,
agegroup_Average,0.052549474752813685,
agilent_126598,0.0500182124233106,MH0316_GL0084816 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
totcabloodb,0.04515036052733194,
ALTBloodb,0.044292954966658714,
adjcabloodb,0.042143202071893024,
kbloodb,0.03894934746902435,
mchbloodb,0.03514513228088616,
SerFolateBloodB,0.03489637272432446,
agilent_126599,0.034683004256803554,MH0193_GL0075334 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
sex_Binary,0.034024156630039215,
t3bloodb,0.026044110471848386,
agilent_12509,0.025683050416409968,WP_020438185.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
creatbloodb,0.02385873222956434,
agilent_219344,0.0,NP_831414.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_211440,0.0,MH0436_GL0046035 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_214293,0.0,MH0008_GL0012451 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_214278,0.0,MH0005_GL0013534 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_214044,0.0,V1.CD15-3_GL0052858 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_213246,0.0,MH0193_GL0159929 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_209534,0.0,NP_706995.3 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_211321,0.0,MH0111_GL0059408 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_211222,0.0,MH0055_GL0027990 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_210197,0.0,MH0111_GL0059408 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_24786,0.0,WP_058914589.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_207467,0.0,MH0199_GL0113746 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_207279,0.0,WP_010958791.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_206701,0.0,SZEY-64A_GL0055442 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_206551,0.0,NP_831420.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_206528,0.0,MH0055_GL0027990 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_23480,0.0,WP_011082376.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_40061,0.0,MH0023_GL0030495 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_27846,0.0,MH0068_GL0021541 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_36725,0.0,MH0006_GL0093358 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_43110,0.0,MH0369_GL0102815 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_42021,0.0,MH0082_GL0076976 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_41866,0.0,MH0004_GL0031123 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_41346,0.0,MH0183_GL0099125 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_40576,0.0,MH0268_GL0121737 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_205997,0.0,MH0193_GL0075334 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_39572,0.0,MH0131_GL0082299 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_37298,0.0,MH0021_GL0007729 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_37204,0.0,MH0023_GL0030495 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_36608,0.0,YP_002345095.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_28075,0.0,MH0008_GL0012455 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_35850,0.0,MH0001_GL0012631 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_35778,0.0,MH0276_GL0083049 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_33586,0.0,MH0016_GL0069873 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_33067,0.0,MH0094_GL0036797 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_32166,0.0,T2D-105A_GL0053933 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_31876,0.0,V1.UC1-0_GL0104559 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_31262,0.0,MH0099_GL0121059 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_28524,0.0,MH0193_GL0159929 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_28519,0.0,NP_831414.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_205999,0.0,MH0044_GL0005871 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_197720,0.0,MH0418_GL0134506 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_205505,0.0,WP_000052036.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_188925,0.0,MH0316_GL0084816 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_193696,0.0,MH0205_GL0020803 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_193616,0.0,WP_000079833.1 strains_non_MPA_non_topgraph_cdhit70_190118.csv
agilent_193532,0.0,MH0185_GL0136457 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_193331,0.0,MH0212_GL0088720 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_192377,0.0,MH0160_GL0042230 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_191248,0.0,MH0436_GL0046035 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_190908,0.0,MH0381_GL0134988 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
agilent_190042,0.0,MH0345_GL0028215 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv
